Generation_prompt,Annotation1,Annotation2,Annotation3
A cat sitting on a piano at sunset,Cat playing the piano,Cat on a piano against a sunset,A cat playing piano on the beach
A red sports car driving on a mountain road,Car driving through the mountains,Sports car on a mountain pass road in sunset,a luxury car driving inside the mountains
A young woman reading a book in a cozy library,Girl reading a book,Girl in sweater reading book in library,a girl reading a book in the library
A city skyline at night with glowing neon signs,City at night,View of city from river,a city night next to the ocean with towers
A child flying a kite on a windy beach,girl flying a kite,Girl on beach with kite,a girl flying a kite on the beach
A plate of sushi on a wooden table,Sushi,Sushi on plate with wasabi and chopsticks,Sushi plate 
A hot air balloon floating over a green valley,People in a hot air balloon,Hot air balloon above valley pass,a balloon on the sky with green valley
A person painting on a canvas in a sunlit studio,Guy painting a picture,Light from window entering room with man painting,a painter painting on canvas
A snow-covered cabin in the middle of a forest,A cabin in the winter,Wooden cabin in snowy forest,a bungalow in the forest under snow
A robot cooking breakfast in a modern kitchen,Robot cooking a meal,Robot in kitchen in front of breakfast,a robot preparing breakfast in the kitchen
A lion resting under a tree in the savanna,Lion sitting under a tree,Lion in savanna under tree,a lion waiting under a shadow of a tree
A woman practicing yoga on a cliff overlooking the ocean,girl doing yoga by the ocean,Woman doing yoga on rock on the water,a girl doing yoga next to ocean
A train passing through a misty mountain landscape,a train going through the mountains,Front of train on tracks in valley pass,a black train approaching in a foggy weather
A vintage bicycle leaning against a brick wall,a bike sitting outside,Bike against brick wall,Bicycle parked on the wall
A spaceship hovering above a futuristic city,Spaceship flying through a city,Spaceship positioned in Manhattan,An object flying around city
A basket of fresh fruits on a picnic blanket,"A picnic blanket and a basket with apples, pears",Fruit basket on picnic blanket,a basket full of fruit on picnic blanket
A surfer riding a large wave at sunrise,a guy surfing,Surfer riding a wave during sunset,a man surfin on the ocean
A cozy coffee shop interior with people working,people sitting at a cafe,View of a bar cafe during working hours,Crowded cafe store
A flock of birds flying over a desert landscape,Birds flying over the desert,Birds flying above the desert,Flying birds over the desert
A man playing guitar on a busy street corner,A guy in the middle of the street playing guitar,Man playing guitar in the city,a man playing guitar in the city lights
A colorful coral reef underwater with tropical fish,a yellow fish swimming in the sea,Yellow fish near coral reef,a fish swimming in the ocean
A family having a barbecue in the backyard,Three people having a cookout,Man barbecue with son and daughter ,People doing barbeque in the garden
A close-up of a butterfly on a flower,A butterfly sitting on top of a pink flower,Butterfly on pink flower in field,Butterfly on a flower
A castle on top of a hill with a moat,a castle on a cliff,Castle on a moat,Castle by the water
A snowy mountain peak under a clear blue sky,A picture of a snowy mountain,Picture of a snowy mountain,Snowy mountains
A futuristic robot walking through a city street,a robot walking in the middle of the street,robot walking on a city street,Robot walking in the city road
A baker arranging pastries in a bakery display,a baker placing the food on a shelf,Chef making final preparation on cakes,Pastry chef putting desserts on the shelf
A horse running through a grassy field,a horse running in a field,Horse running in an open field,Running horse on grass
A street market full of colorful fruits and vegetables,a food plaza showing fruits,Open air produce market,Grocery with shelves of fruit and vegatables
A person kayaking in a calm river at dawn,a person kayaking in the middle of a river,Person kayaking during sunset,Person kayaking on the lake
